Date,Year,Month,Rain,Max_T.,Min_T.,Cloud,Releted Hum.,Sea Level P.,Wind
2004-01-03,2004,1,0.0,16.2,12.3,5.0,87.0,1017.8,4.0
2005-01-03,2005,1,0.0,26.8,15.3,1.0,75.0,1014.7,0.0
2006-01-03,2006,1,0.0,26.7,13.0,2.0,68.0,1013.7,1.5
2007-01-03,2007,1,0.0,22.9,11.0,0.0,66.0,1014.6,2.7
2008-01-03,2008,1,0.0,26.9,14.9,0.0,69.0,1015.8,2.0
2009-01-03,2009,1,0.0,25.0,12.8,0.0,70.0,1015.4,2.0
2010-01-03,2010,1,0.0,20.3,11.2,1.0,86.0,1014.2,2.5
2011-01-03,2011,1,0.0,17.5,12.4,0.0,87.0,1013.3,2.0
2012-01-03,2012,1,1.0,22.4,17.2,5.0,79.0,1013.4,2.0
2013-01-03,2013,1,0.0,25.2,14.9,1.0,74.0,1013.5,0.0
2014-01-03,2014,1,0.0,23.2,13.0,1.0,66.0,1016.4,2.0
2015-01-03,2015,1,0.0,29.9,20.8,6.0,73.0,1014.1,2.0
2016-01-03,2016,1,0.0,25.8,14.8,0.0,70.0,1016.6,2.0
2017-01-03,2017,1,0.0,27.2,15.9,1.0,67.0,1012.9,2.0
1988-01-04,1988,1,0.0,27.2,15.8,4.0,71.0,1015.9,5.0
1989-01-04,1989,1,0.0,26.0,14.5,0.0,75.0,1015.9,4.0
1990-01-04,1990,1,0.0,23.6,11.4,0.0,78.0,1017.0,2.0
1991-01-04,1991,1,24.0,21.6,13.2,2.0,75.0,1016.3,2.0
1992-01-04,1992,1,0.0,23.2,11.4,0.0,71.0,1018.7,2.0
1993-01-04,1993,1,0.0,25.0,14.2,3.0,87.0,1015.8,2.0
1994-01-04,1994,1,0.0,27.2,13.4,0.0,71.0,1014.7,2.3
1995-01-04,1995,1,0.0,24.5,6.8,0.0,68.0,1017.1,2.5
1996-01-04,1996,1,0.0,25.5,13.7,3.0,81.0,1015.3,1.0
1997-01-04,1997,1,0.0,25.8,11.4,2.0,71.0,1015.9,2.0
1998-01-04,1998,1,0.0,16.0,11.5,0.0,91.0,1018.1,2.0
1999-01-04,1999,1,0.0,29.4,13.1,0.0,71.0,1012.7,0.0
2000-01-04,2000,1,0.0,19.7,12.0,1.0,88.0,1014.3,1.8
2001-01-04,2001,1,0.0,22.1,13.5,0.0,73.0,1015.2,2.2
2002-01-04,2002,1,0.0,26.0,13.0,3.0,65.0,1018.3,1.0
2003-01-04,2003,1,0.0,24.6,13.9,1.0,66.0,1014.8,3.8
2004-01-04,2004,1,0.0,19.7,12.0,5.0,80.0,1018.1,5.0
2005-01-04,2005,1,0.0,25.7,18.0,3.0,76.0,1016.2,0.0
2006-01-04,2006,1,0.0,26.0,14.4,3.0,67.0,1012.9,3.7
2007-01-04,2007,1,0.0,18.1,10.5,0.0,85.0,1014.5,2.7
2008-01-04,2008,1,0.0,27.2,15.2,0.0,61.0,1016.3,3.0
2009-01-04,2009,1,0.0,25.1,12.5,0.0,71.0,1013.8,5.0
2010-01-04,2010,1,0.0,16.1,11.0,2.0,93.0,1012.1,3.5
2011-01-04,2011,1,0.0,23.0,12.8,2.0,79.0,1012.0,1.5
2012-01-04,2012,1,0.0,24.5,15.8,2.0,70.0,1014.1,2.0
2013-01-04,2013,1,0.0,25.6,14.8,1.0,70.0,1013.0,2.0
2014-01-04,2014,1,0.0,22.5,13.5,0.0,71.0,1014.8,2.0
2015-01-04,2015,1,1.0,26.1,20.5,5.0,78.0,1012.5,3.0
2016-01-04,2016,1,0.0,26.5,15.4,1.0,64.0,1017.5,2.0
2017-01-04,2017,1,0.0,26.6,16.2,0.0,66.0,1012.9,2.5
1988-01-05,1988,1,0.0,27.8,15.4,4.0,75.0,1016.1,3.5
1989-01-05,1989,1,0.0,25.9,13.2,0.0,74.0,1014.4,2.0
1990-01-05,1990,1,0.0,23.5,11.4,0.0,81.0,1018.3,5.0
1991-01-05,1991,1,0.0,22.1,11.9,2.0,78.0,1016.3,3.0
1992-01-05,1992,1,0.0,23.0,12.0,0.0,69.0,1014.6,2.0
1993-01-05,1993,1,0.0,22.5,14.6,1.0,87.0,1017.6,2.0
1994-01-05,1994,1,0.0,26.4,12.2,0.0,74.0,1013.4,5.0
1995-01-05,1995,1,0.0,26.8,8.5,0.0,68.0,1018.2,2.0
1996-01-05,1996,1,0.0,26.8,13.4,1.0,76.0,1015.5,2.0
1997-01-05,1997,1,0.0,25.5,12.5,3.0,74.0,1016.2,1.0
1998-01-05,1998,1,0.0,19.0,11.5,0.0,90.0,1016.2,2.0
1999-01-05,1999,1,0.0,28.1,12.4,2.0,71.0,1011.9,0.0
2000-01-05,2000,1,0.0,23.3,11.2,1.0,78.0,1014.0,2.0
2001-01-05,2001,1,0.0,20.5,12.8,1.0,71.0,1016.4,2.4
2002-01-05,2002,1,0.0,26.8,14.0,2.0,69.0,1017.3,1.7
2003-01-05,2003,1,0.0,22.2,13.8,0.0,67.0,1017.4,4.0
2004-01-05,2004,1,0.0,21.2,12.0,3.0,75.0,1018.4,4.8
2005-01-05,2005,1,0.0,26.1,15.2,0.0,65.0,1016.1,5.3
2006-01-05,2006,1,0.0,25.5,13.9,2.0,63.0,1013.2,4.0
2007-01-05,2007,1,0.0,20.0,9.7,1.0,86.0,1015.3,3.4
2008-01-05,2008,1,0.0,26.3,16.2,0.0,56.0,1016.0,3.4
2009-01-05,2009,1,0.0,25.2,11.1,0.0,69.0,1012.8,3.0
2010-01-05,2010,1,0.0,22.5,10.5,0.0,77.0,1012.3,3.8
2011-01-05,2011,1,0.0,23.0,13.0,0.0,74.0,1011.4,2.3
2012-01-05,2012,1,0.0,25.0,15.8,2.0,68.0,1014.9,2.0
2013-01-05,2013,1,0.0,25.0,14.6,0.0,60.0,1012.1,2.0
2014-01-05,2014,1,0.0,22.4,13.5,1.0,76.0,1012.9,2.0
2015-01-05,2015,1,0.0,23.7,18.0,1.0,71.0,1013.4,2.5
2016-01-05,2016,1,0.0,25.8,15.3,0.0,63.0,1016.2,2.0
2017-01-05,2017,1,0.0,23.9,15.6,0.0,83.0,1012.2,2.3
1988-01-06,1988,1,0.0,28.7,16.7,3.0,73.0,1014.0,2.0
1989-01-06,1989,1,0.0,26.4,12.8,0.0,73.0,1013.0,6.0
1990-01-06,1990,1,0.0,23.6,11.4,0.0,73.0,1017.9,3.0
1991-01-06,1991,1,0.0,23.5,12.6,0.0,69.0,1015.6,3.5
1992-01-06,1992,1,0.0,21.8,11.7,1.0,72.0,1014.2,3.5
1993-01-06,1993,1,0.0,25.0,13.5,1.0,74.0,1015.5,0.0
1994-01-06,1994,1,0.0,26.4,13.1,0.0,76.0,1015.5,3.0
1995-01-06,1995,1,0.0,26.8,11.0,3.0,66.0,1018.7,2.0
1996-01-06,1996,1,0.0,25.8,13.4,0.0,78.0,1015.4,1.0
1997-01-06,1997,1,0.0,25.8,11.8,1.0,72.0,1017.0,0.0
1998-01-06,1998,1,0.0,17.2,12.0,0.0,91.0,1016.8,2.0
1999-01-06,1999,1,0.0,27.0,13.3,4.0,72.0,1011.2,0.0
2000-01-06,2000,1,0.0,17.8,11.6,1.0,90.0,1013.4,1.7
2001-01-06,2001,1,0.0,19.5,10.9,1.0,82.0,1016.2,2.0
2002-01-06,2002,1,0.0,26.5,14.8,2.0,59.0,1016.9,2.5
2003-01-06,2003,1,0.0,20.9,11.9,1.0,81.0,1018.1,4.2
2004-01-06,2004,1,0.0,19.2,12.2,4.0,90.0,1017.0,5.0
2005-01-06,2005,1,0.0,25.5,16.0,0.0,67.0,1015.1,3.0
2006-01-06,2006,1,0.0,25.4,14.3,2.0,74.0,1013.5,3.3
